客场队名,主场队名,客场本场前战绩,主场本场前战绩,比分
180,138,0胜1负,0胜0负,128:132
145,138,0胜1负,1胜0负,91:109
187,138,2胜2负,2胜1负,109:115
131,138,2胜2负,3胜1负,78:85
138,14,4胜1负,1胜5负,97:102
138,61,4胜2负,1胜5负,109:102
138,47,5胜2负,3胜4负,122:117
47,138,4胜8负,7胜4负,125:119
138,152,7胜5负,11胜2负,89:117
103,138,7胜6负,7胜6负,106:89
138,180,7胜7负,3胜10负,101:111
138,187,7胜8负,6胜9负,111:116
138,110,7胜9负,4胜12负,104:94
201,138,14胜2负,8胜9负,118:98
159,138,8胜9负,8胜10负,107:101
138,117,8胜11负,13胜7负,109:114
138,173,8胜12负,16胜4负,100:105
82,138,15胜8负,8胜14负,106:84
110,138,6胜18负,8胜16负,99:108
138,124,9胜16负,13胜14负,95:96
180,138,12胜15负,9胜17负,121:112
138,166,9胜18负,5胜20负,117:109
124,138,15胜14负,10胜18负,102:109
138,89,13胜20负,21胜12负,90:110
152,138,28胜11负,15胜22负,115:110
145,138,13胜24负,15胜23负,112:122
21,138,16胜22负,17胜23负,108:110
201,138,37胜7负,19胜24负,113:102
131,138,28胜19负,19胜27负,81:96
28,138,19胜28负,20胜27负,94:100
0,138,34胜14负,21胜27负,90:101
103,138,30胜22负,22胜28负,114:116
194,138,33胜23负,24胜29负,89:102
40,138,40胜14负,26胜29负,115:93
68,138,34胜23负,26胜30负,95:79
138,110,26胜31负,13胜46负,123:126
138,40,27胜33负,44胜15负,103:107
138,54,27胜34负,31胜30负,117:125
110,138,17胜50负,29胜36负,77:100
173,138,47胜20负,30胜37负,112:106
138,159,30胜38负,33胜33负,97:108
138,201,30胜40负,56胜13负,96:111
138,180,30胜41负,37胜34负,112:131
138,117,32胜42负,48胜24负,114:115
138,187,32胜43负,41胜33负,91:110
138,124,33胜44负,45胜32负,108:87
152,138,55胜22负,34胜44负,87:95
138,103,35胜45负,49胜31负,111:134
146,139,0胜0负,0胜0负,105:86
1,139,1胜0负,0胜1负,91:99
48,139,1胜0负,1胜1负,78:92
139,160,2胜2负,1胜3负,91:102
139,153,2胜4负,4胜4负,90:97
83,139,8胜1负,2胜6负,106:111
90,139,7胜3负,3胜6负,117:109
22,139,9胜4负,5胜9负,94:91
118,139,15胜3负,6胜11负,120:109
167,139,6胜14负,6胜12负,90:93
132,139,12胜8负,7胜12负,101:119
139,167,8胜12负,7胜15负,106:114
118,139,19胜5负,8胜13负,119:116
139,104,8胜14负,15胜11负,109:101
160,139,12胜15负,10胜14负,96:102
139,118,11胜15负,22胜7负,87:110
146,139,19胜10负,11胜17负,97:104
139,160,12胜17负,14胜19负,106:104
139,55,14胜18负,21胜15负,83:105
139,97,14胜20负,8胜28负,120:100
188,139,22胜15负,15胜20负,110:92
139,167,17胜21负,14胜27负,115:89
41,139,22胜19负,18胜21负,105:103
29,139,19胜24负,18胜22负,120:98
139,132,18胜23负,21胜22负,92:99
111,139,22胜24负,18胜24负,97:93
139,195,18胜25负,11胜34负,101:92
167,139,17胜30负,19胜26负,108:111
195,139,12胜37负,20胜28负,102:87
139,153,20胜30负,32胜20负,112:120
104,139,30胜25负,21胜33负,97:112
139,104,22胜33负,30胜26负,84:123
174,139,32胜26负,22胜35负,112:103
202,139,42胜16负,22胜37负,120:99
139,174,22胜39负,35胜28负,94:104
139,181,22胜40负,32胜31负,96:99
202,139,49胜16负,23胜42负,107:101
140,161,0胜0负,0胜0负,87:85
189,140,0胜1负,1胜0负,104:94
140,147,1胜1负,2胜0负,114:110
140,168,2胜1负,0胜3负,92:94
9,140,2胜2负,2胜2负,96:106
140,154,3胜2负,1胜4负,77:101
105,140,3胜3负,3胜3负,107:101
140,112,4胜4负,5胜3负,106:98
35,140,6胜3负,6胜5负,93:102
140,105,7胜5负,6胜6负,91:102
112,140,5胜6负,7胜6负,85:96
105,140,8胜7负,8胜6负,105:106
23,140,8胜8负,9胜6负,92:103
140,16,10胜7负,6胜13负,104:97
140,35,11胜7负,11胜6负,109:102
140,84,14胜7负,14胜5负,97:95
140,91,15胜7负,8胜13负,85:99
196,140,5胜18负,16胜8负,96:103
140,168,17胜8负,7胜17负,127:131
154,140,12胜14负,18胜9负,118:115
140,133,18胜10负,15胜14负,94:83
56,140,14胜15负,19胜10负,89:96
42,140,14胜14负,20胜10负,83:101
147,140,25胜7负,21胜10负,94:115
140,147,22胜10负,26胜8负,89:115
189,140,22胜10负,22胜11负,94:87
140,105,23胜12负,22胜16负,105:116
84,140,24胜12负,23胜13负,92:75
140,203,23胜14负,30胜11负,88:95
140,196,23胜15负,13胜26负,116:112
119,140,33胜9负,25胜15负,99:104
140,2,26胜15负,25胜16负,87:103
140,30,26胜16负,22胜19负,102:109
175,140,19胜26负,28胜17负,97:100
161,140,16胜31负,29胜17负,93:113
140,119,30胜18负,36胜12负,98:119
182,140,28胜25负,30胜21负,116:107
140,133,30胜22负,30胜24负,101:115
161,140,18胜36负,30胜23负,98:108
203,140,44胜12负,31胜23负,101:107
140,112,32胜23负,20胜32负,100:99
140,23,33胜23负,35胜21负,97:108
140,56,33胜26负,22胜34负,97:104
63,140,23胜37负,33胜27负,118:125
182,140,33胜29负,35胜27负,94:88
49,140,38胜22负,35胜29负,63:92
16,140,23胜43负,36胜29负,97:105
2,140,35胜29负,37胜29负,113:95
140,182,37胜30负,36胜30负,108:78
98,140,25胜43负,39胜31负,92:101
154,140,36胜34负,40胜31负,103:109
126,140,33胜39负,41胜32负,98:125
133,140,40胜37负,44胜32负,97:90
112,140,29胜47负,44胜33负,89:105
119,140,57胜21负,45胜33负,116:97
140,154,45胜34负,42胜37负,116:118
105,140,1胜1负,1胜1负,108:110
105,140,2胜3负,3胜2负,88:92
140,203,0胜0负,0胜0负,127:129
203,140,1胜1负,1胜1负,102:92
203,140,2胜1负,1胜2负,87:97
140,203,2胜2负,2胜2负,91:109
141,57,2胜1负,3胜0负,110:90
120,141,5胜2负,5胜3负,115:116
141,134,7胜3负,1胜10负,98:87
190,141,6胜5负,8胜3负,88:81
141,197,8胜6负,6胜7负,102:101
141,120,9胜7负,10胜3负,112:113
141,169,9胜8负,4胜10负,115:113
64,141,6胜10负,10胜8负,103:112
141,183,11胜8负,13胜7负,83:105
176,141,13胜9负,12胜10负,93:95
183,141,15胜8负,13胜10负,116:112
141,162,13胜11负,13胜9负,102:106
155,141,13胜13负,14胜13负,83:102
162,141,17胜10负,17胜13负,86:115
141,10,18胜13负,10胜19负,108:104
141,92,19胜13负,10胜20负,94:81
141,85,20胜13负,24胜7负,123:114
141,71,21胜13负,18胜14负,101:100
141,99,22胜13负,14胜16负,112:96
141,31,23胜13负,7胜26负,101:80
141,36,24胜13负,13胜21负,98:102
106,141,19胜18负,25胜14负,123:116
141,120,25胜15负,29胜10负,121:127
141,197,25胜16负,15胜23负,97:87
113,141,20胜21负,26胜17负,121:120
127,141,33胜11负,26胜18负,88:103
99,141,21胜22负,27胜18负,88:85
148,141,33胜15负,27胜19负,92:111
141,134,28胜19负,16胜29负,95:90
3,141,24胜24负,29胜20负,87:102
141,162,30胜20负,29胜20负,109:122
57,141,15胜37负,30胜21负,80:123
141,169,31胜22负,18胜35负,101:92
36,141,25胜27负,33胜22负,86:93
141,17,34胜22负,23胜33负,104:96
141,3,35胜22负,30胜26负,83:103
141,50,35胜23负,21胜37负,126:103
141,24,36胜24负,46胜13负,98:96
141,43,37胜24负,20胜40负,108:88
71,141,26胜33负,38胜24负,97:111
162,141,36胜25负,39胜24负,107:113
176,141,38胜26负,40胜24负,85:108
141,148,41胜24负,45胜20负,98:111
141,127,41胜26负,43胜23负,113:112
92,141,19胜48负,42胜26负,89:103
31,141,13胜55负,43胜26负,110:115
190,141,43胜28负,44胜27负,93:100
141,176,45胜28负,44胜30负,122:120
141,204,46胜28负,58胜16负,90:111
169,141,27胜48负,46胜29负,69:102
141,155,48胜30负,25胜53负,112:95
141,127,49胜30负,52胜28负,117:119
141,106,50胜31负,36胜45负,116:112
141,148,0胜0负,0胜0负,109:105
141,148,1胜0负,0胜1负,98:138
148,141,1胜1负,1胜1负,98:96
141,148,2胜2负,2胜2负,103:113
148,141,3胜2负,2胜3负,99:100
141,148,3胜3负,3胜3负,121:126
149,142,3胜1负,3胜0负,104:121
142,184,4胜0负,6胜0负,98:87
205,142,3胜3负,5胜1负,113:100
135,142,5胜7负,8胜2负,88:101
142,86,10胜2负,8胜6负,114:97
142,18,13胜2负,3胜13负,104:93
93,142,7胜12负,14胜2负,97:98
198,142,8胜8负,15胜2负,85:112
142,114,17胜2负,4胜15负,102:86
184,142,16胜4负,18胜2负,93:105
142,177,19胜2负,17胜7负,105:98
142,198,20胜2负,11胜11负,128:122
170,142,12胜15负,22胜3负,108:128
142,149,23胜4负,19胜10负,86:100
65,142,24胜8负,25胜5负,105:126
121,142,17胜17负,26胜5负,91:117
142,135,29胜5负,13胜25负,116:105
107,142,18胜22负,32胜6负,79:122
184,142,29胜13负,33胜6负,113:126
4,142,29胜17负,36胜6负,113:111
142,135,36胜7负,16胜30负,100:110
163,142,28胜20负,36胜8负,87:106
142,170,37胜8负,17胜29负,121:96
177,142,33胜17负,38胜8负,114:128
142,51,39胜9负,10胜40负,106:92
142,58,40胜9负,12胜40负,89:84
142,114,41胜9负,11胜41负,94:91
205,142,34胜20负,42胜9负,99:110
142,25,43胜9负,22胜33负,98:104
142,100,43胜10负,33胜23负,114:107
142,65,44胜11负,37胜20负,113:89
142,37,46胜11负,24胜33负,108:110
32,142,32胜28负,46胜12负,93:102
149,142,40胜22负,48胜12负,98:106
142,163,49胜12负,33胜31负,98:80
142,107,51胜12负,24胜41负,103:114
51,142,13胜51负,51胜13负,94:125
156,142,17胜48负,52胜13负,105:108
72,142,53胜14负,53胜13负,95:114
198,142,37胜31负,54胜13负,96:112
