Id,客场队名,主场队名,客场本场前战绩,主场本场前战绩,比分（客场:主场）,sub,obj,result
0,180,138,0胜1负,0胜0负,128:132,132,128,1
1,145,138,0胜1负,1胜0负,91:109,109,91,0
2,187,138,2胜2负,2胜1负,109:115,115,109,1
3,131,138,2胜2负,3胜1负,78:85,85,78,1
4,138,14,4胜1负,1胜5负,97:102,102,97,0
5,138,61,4胜2负,1胜5负,109:102,102,109,0
6,138,47,5胜2负,3胜4负,122:117,117,122,0
7,47,138,4胜8负,7胜4负,125:119,119,125,0
8,138,152,7胜5负,11胜2负,89:117,117,89,0
9,103,138,7胜6负,7胜6负,106:89,89,106,1
10,138,180,7胜7负,3胜10负,101:111,111,101,1
11,138,187,7胜8负,6胜9负,111:116,116,111,1
12,138,110,7胜9负,4胜12负,104:94,94,104,1
13,201,138,14胜2负,8胜9负,118:98,98,118,1
14,159,138,8胜9负,8胜10负,107:101,101,107,0
15,138,117,8胜11负,13胜7负,109:114,114,109,1
16,138,173,8胜12负,16胜4负,100:105,105,100,1
17,82,138,15胜8负,8胜14负,106:84,84,106,1
18,110,138,6胜18负,8胜16负,99:108,108,99,0
19,138,124,9胜16负,13胜14负,95:96,96,95,1
20,180,138,12胜15负,9胜17负,121:112,112,121,0
21,138,166,9胜18负,5胜20负,117:109,109,117,0
22,124,138,15胜14负,10胜18负,102:109,109,102,1
23,138,89,13胜20负,21胜12负,90:110,110,90,0
24,152,138,28胜11负,15胜22负,115:110,110,115,0
25,145,138,13胜24负,15胜23负,112:122,122,112,1
26,21,138,16胜22负,17胜23负,108:110,110,108,1
27,201,138,37胜7负,19胜24负,113:102,102,113,0
28,131,138,28胜19负,19胜27负,81:96,96,81,1
29,28,138,19胜28负,20胜27负,94:100,100,94,0
30,0,138,34胜14负,21胜27负,90:101,101,90,0
31,103,138,30胜22负,22胜28负,114:116,116,114,1
32,194,138,33胜23负,24胜29负,89:102,102,89,0
33,40,138,40胜14负,26胜29负,115:93,93,115,1
34,68,138,34胜23负,26胜30负,95:79,79,95,0
35,138,110,26胜31负,13胜46负,123:126,126,123,1
36,138,40,27胜33负,44胜15负,103:107,107,103,1
37,138,54,27胜34负,31胜30负,117:125,125,117,1
38,110,138,17胜50负,29胜36负,77:100,100,77,0
39,173,138,47胜20负,30胜37负,112:106,106,112,0
40,138,159,30胜38负,33胜33负,97:108,108,97,0
41,138,201,30胜40负,56胜13负,96:111,111,96,0
42,138,180,30胜41负,37胜34负,112:131,131,112,1
43,138,117,32胜42负,48胜24负,114:115,115,114,1
44,138,187,32胜43负,41胜33负,91:110,110,91,0
45,138,124,33胜44负,45胜32负,108:87,87,108,1
46,152,138,55胜22负,34胜44负,87:95,95,87,1
47,138,103,35胜45负,49胜31负,111:134,134,111,1
48,146,139,0胜0负,0胜0负,105:86,86,105,1
49,1,139,1胜0负,0胜1负,91:99,99,91,1
50,48,139,1胜0负,1胜1负,78:92,92,78,1
51,139,160,2胜2负,1胜3负,91:102,102,91,0
52,139,153,2胜4负,4胜4负,90:97,97,90,1
53,83,139,8胜1负,2胜6负,106:111,111,106,1
54,90,139,7胜3负,3胜6负,117:109,109,117,0
