队名,队员号,出场次数,首发次数,上场时间,投篮命中率,投篮命中次数,投篮出手次数,三分命中率,三分命中次数,三分出手次数,罚球命中率,罚球命中次数,罚球出手次数,篮板总数,前场篮板,后场篮板,助攻,抢断,盖帽,失误,犯规,得分
0,0,81,81,37.4,44.50%,8.8,19.7,33.20%,1.6,4.8,85.80%,5.9,6.9,4.1,1,3.1,7.7,1,0.6,3.4,1.7,25
0,1,59,59,31.9,51.00%,7.3,14.3,,0,0,70.10%,2.9,4.1,9.6,2.2,7.4,2.5,0.8,0.3,2.5,3.2,17.5
0,2,82,82,39.1,46.00%,6.5,14.1,34.50%,1.4,4.1,75.30%,3.1,4.1,5.8,1.4,4.4,2.8,1,0.6,1.9,2,17.4
0,3,48,48,32.8,52.50%,4.4,8.4,0.00%,0,0,73.90%,2.9,3.9,10.4,3.8,6.6,2.2,1,1.5,1.9,3.3,11.7
0,4,82,0,20.1,43.40%,3,6.8,41.50%,1.5,3.5,88.50%,0.9,1.1,1.8,0.1,1.7,1.5,0.4,0.2,0.7,1.9,8.3
0,5,80,19,21.8,46.60%,2.9,6.3,12.50%,0,0.1,67.60%,1.3,1.9,5.7,2,3.7,0.7,0.5,1.3,0.9,2.5,7.1
0,6,81,1,22,48.00%,2.5,5.3,22.20%,0.1,0.3,65.40%,1.1,1.6,3.2,0.7,2.6,1.7,1.3,0.3,0.7,1,6.2
0,7,82,1,13.3,37.10%,1.8,4.8,39.30%,0.5,1.4,74.20%,0.8,1.1,1.1,0.2,1,2.3,0.7,0.1,0.9,1,4.9
0,8,82,82,17.8,40.40%,1.5,3.7,38.00%,1.1,2.9,65.60%,0.3,0.4,1.8,0.2,1.6,1.2,0.5,0.1,0.5,1.4,4.4
0,9,52,37,22.7,51.10%,1.8,3.6,100.00%,0,0,62.50%,0.4,0.6,5.8,1.4,4.3,1.2,0.6,0.8,0.8,3.2,4.1
0,10,13,0,9.5,41.50%,1.3,3.2,22.20%,0.2,0.7,46.20%,0.5,1,1.8,0.5,1.4,1.1,0.6,0.7,1.4,1.9,3.2
0,11,82,0,12.1,55.30%,1,1.7,,0,0,50.30%,0.9,1.8,3.7,1.4,2.4,0.4,0.2,0.7,0.8,1.9,2.8
