away,home,away_ago_win,away_ago_lose,home_ago_win,home_ago_lose,score_away,score_home,result
199,122,20,32,39,14,95,121,1
102,165,37,24,21,42,131,127,0
134,31,21,38,11,47,88,114,1
123,186,0,0,0,0,87,118,1
116,95,1,5,3,4,123,107,0
201,110,31,6,9,29,107,96,0
191,163,4,0,3,1,102,91,0
178,122,1,3,3,1,104,118,1
142,18,13,2,3,13,104,93,0
110,138,17,50,29,36,77,100,1
201,89,25,3,16,12,101,123,1
83,55,16,6,16,6,99,79,0
7,201,5,6,10,1,92,116,1
116,13,19,29,32,15,97,125,1
33,87,18,25,23,18,91,79,0
101,185,20,24,25,24,123,122,0
89,166,40,24,15,46,106,102,0
146,111,35,23,25,34,95,82,0
151,109,40,28,32,35,114,129,1
43,31,7,11,2,13,85,92,1
36,148,3,5,6,3,103,110,1
42,49,0,0,0,0,78,85,1
22,1,11,5,16,3,95,90,0
23,9,40,26,22,44,111,90,0
54,82,0,1,1,0,73,94,1
110,145,6,22,7,21,90,113,1
126,63,16,14,11,20,79,102,1
50,71,2,4,4,3,95,91,0
96,89,0,0,0,0,83,112,1
192,115,25,19,13,31,101,106,1
130,39,7,7,4,8,129,109,0
116,207,14,27,31,9,114,122,1
152,124,39,19,32,24,106,101,0
55,41,0,0,0,0,91,92,1
129,87,11,17,15,10,109,116,1
142,25,43,9,22,33,98,104,1
58,170,17,53,24,45,106,107,1
201,159,2,1,1,2,112,110,0
8,1,21,44,49,16,75,107,1
105,203,4,5,7,2,100,126,1
158,60,10,18,6,19,100,89,0
200,34,0,8,4,3,112,106,0
148,197,50,21,30,40,96,98,1
3,50,47,32,34,45,89,100,1
111,118,23,25,35,12,140,149,1
137,102,36,22,34,22,102,92,0
138,180,30,41,37,34,112,131,1
128,18,16,4,3,18,98,86,0
166,110,16,51,17,53,127,95,0
52,185,7,6,5,8,107,102,0
98,2,29,52,44,37,92,95,1
198,58,19,19,7,31,81,96,1
202,195,31,14,12,35,89,86,0
105,42,33,18,26,23,114,118,1
