客场队名,主场队名,客场本场前战绩,主场本场前战绩
0,28,39胜17负,22胜35负
0,68,1胜1负,1胜1负
0,68,3胜2负,2胜3负
0,89,41胜18负,40胜22负
0,117,0胜0负,0胜0负
0,201,6胜3负,8胜1负
1,15,5胜1负,2胜3负
1,69,7胜1负,5胜3负
1,111,8胜2负,3胜6负
2,35,3胜1负,1胜3负
2,56,11胜9负,12胜9负
2,63,21胜15负,14胜24负
2,84,1胜0负,0胜1负
2,196,30胜22负,19胜34负
2,203,34胜26负,47胜14负
3,17,33胜27负,24胜36负
3,50,8胜11负,5胜15负
3,64,27胜25负,29胜24负
3,71,42胜32负,32胜41负
3,99,1胜2负,2胜1负
3,99,44胜32负,40胜36负
3,120,9胜15负,20胜4负
3,183,9胜14负,16胜9负
4,18,42胜28负,24胜44负
4,65,6胜2负,7胜1负
5,115,27胜22负,15胜36负
5,157,25胜19负,9胜38负
5,178,16胜11负,16胜13负
5,192,39胜38负,41胜36负
6,34,34胜39负,37胜35负
6,74,21胜22负,24胜18负
6,102,19胜19负,18胜18负
6,186,25胜25负,36胜17负
7,0,8胜34负,29胜14负
7,14,17胜63负,29胜51负
7,89,6胜8负,10胜4负
7,117,7胜16负,16胜8负
7,159,8胜28负,14胜20负
7,187,8胜41负,26胜24负
8,48,17胜32负,26胜26负
8,97,13胜21负,7胜28负
9,23,24胜52负,48胜29负
10,71,6胜12负,10胜10负
10,141,25胜40负,41胜25负
10,176,16胜31负,27胜21负
11,4,0胜1负,1胜0负
11,4,33胜21负,33胜20负
11,65,10胜7负,15胜4负
11,72,39胜24负,48胜12负
11,100,33胜22负,33胜21负
11,107,1胜3负,1胜3负
11,191,46胜26负,50胜21负
12,38,28胜11负,11胜31负
12,59,2胜1负,0胜2负
12,66,11胜3负,9胜6负
12,164,19胜9负,12胜20负
12,171,44胜18负,25胜37负
13,46,3胜1负,1胜3负
13,67,2胜0负,0胜2负
13,95,42胜21负,24胜42负
13,109,46胜23负,33胜37负
13,144,1胜3负,3胜1负
14,0,12胜24负,24胜12负
14,82,17胜29负,31胜14负
14,96,26胜50负,20胜56负
14,138,4胜6负,6胜4负
14,187,5胜9负,5胜9负
15,41,8胜22负,15胜12负
15,90,21胜35负,33胜23负
15,118,4胜13负,13胜3负
15,146,16胜28负,25胜18负
16,23,17胜28负,26胜19负
16,49,18胜30负,30胜15负
16,49,3胜10负,8胜3负
16,168,0胜4负,1胜3负
16,175,5胜12负,7胜9负
16,182,0胜6负,2胜3负
17,43,24胜38负,21胜41负
17,85,19胜27负,33胜13负
17,134,25胜44负,23胜47负
17,141,2胜4负,4胜3负
18,25,14胜25负,15胜25负
18,25,19胜30负,17胜32负
18,32,17胜26负,21胜21负
18,44,25胜44负,30胜38负
18,58,17胜29负,8胜37负
18,142,23胜40负,50胜12负
18,149,5胜19负,16胜7负
18,163,3胜19负,12胜11负
19,12,43胜38负,57胜24负
20,34,26胜29负,23胜30负
20,39,34胜36负,13胜56负
20,67,0胜0负,0胜0负
20,144,18胜22负,33胜6负
21,68,11胜10负,15胜9负
21,68,14胜19负,24胜14负
21,96,13胜16负,7胜22负
21,145,16胜21负,14胜25负
21,194,35胜42负,43胜33负
22,41,12胜5负,8胜9负
22,83,23胜14负,30胜9负
23,42,19胜13负,14胜17负
23,49,4胜6负,6胜1负
23,70,2胜2负,1胜1负
23,84,2胜2负,2胜2负
23,119,10胜10负,16胜4负
23,147,47胜27负,49胜25负
24,71,28胜6负,18胜17负
24,99,52胜20负,36胜35负
24,120,18胜2负,14胜4负
24,148,15胜1负,12胜5负
24,204,17胜2负,15胜3负
25,32,12胜21负,17胜16负
25,100,1胜3负,3胜1负
25,107,8胜18负,11胜15负
26,59,39胜36负,9胜67负
26,66,42胜36负,52胜26负
26,178,34胜30负,33胜32负
27,6,1胜1负,1胜0负
27,13,37胜39负,48胜27负
27,60,40胜40负,28胜52负
27,60,4胜4负,0胜7负
27,88,13胜12负,8胜17负
27,95,39胜40负,28胜51负
27,109,20胜18负,14胜23负
27,130,9胜9负,9胜10负
27,137,22胜20负,28胜16负
27,172,21胜19负,16胜24负
27,186,30胜29负,42胜18负
27,193,37胜37负,40胜34负
27,207,31胜29负,45胜13负
28,54,14胜22负,15胜23负
28,68,3胜5负,6胜2负
28,96,23胜38负,16胜46负
28,159,19胜27负,22胜24负
29,48,22胜26负,24胜25负
29,83,5胜9负,11胜4负
29,90,14胜22负,23胜14负
29,132,2胜2负,2胜3负
30,2,6胜5负,6胜6负
30,23,34胜33负,42胜26负
30,42,13胜11负,13胜12负
30,56,34胜35负,27胜43负
30,105,25胜21负,30胜18负
30,147,30胜28负,43胜19负
30,161,19胜18负,13胜27负
31,57,10胜45负,15胜41负
31,99,15胜64负,41胜38负
31,148,13胜57负,49胜21负
32,4,31胜24负,35胜21负
32,25,34胜30负,29胜34负
32,37,34胜34负,27胜39负
32,86,22胜22负,20胜24负
33,178,12胜19负,17胜13负
34,27,40胜38负,38胜40负
34,74,20胜18负,22胜17负
34,74,5胜4负,8胜2负
34,137,21胜26负,30胜19负
34,193,32胜33负,36胜30负
35,42,45胜32负,40胜37负
36,31,5胜14负,4胜15负
36,64,0胜0负,0胜0负
36,99,2胜2负,1胜3负
37,58,5胜8负,0胜14负
37,65,10胜13负,19胜6负
37,72,2胜2负,2胜2负
37,72,35胜40负,56胜19负
37,142,4胜3负,5胜2负
38,33,0胜6负,3胜3负
38,45,2胜10负,6胜5负
38,52,21胜54负,30胜46负
39,53,3胜4负,2胜4负
39,88,9胜38负,18胜30负
39,130,10胜50负,25胜35负
40,14,24胜5负,10胜21负
40,47,19胜4负,16胜9负
40,61,9胜3负,4胜9负
40,159,35胜10负,20胜24负
41,55,1胜1负,1胜1负
42,2,3胜3负,4胜2负
42,56,10胜8负,10胜8负
42,154,28胜25负,25胜29负
43,3,13胜18负,12胜18负
43,24,22胜41负,46胜17负
43,31,18胜34负,9胜41负
43,64,0胜0负,0胜0负
43,71,23胜54负,34胜43负
43,92,14胜27负,10胜30负
43,99,14胜29负,20胜20负
43,106,13胜21负,16胜17负
43,127,13胜24负,27胜9负
43,197,22胜44负,26胜39负
44,114,16胜27负,7胜37负
44,191,4胜6负,10胜2负
45,5,19胜16负,21胜12负
45,26,1胜2负,1胜3负
45,73,0胜0负,0胜0负
45,73,7胜6负,9胜6负
45,94,27胜21负,20胜25负
45,108,32胜24负,22胜33负
45,150,43胜30负,45胜27负
45,178,22胜19负,23胜19负
46,13,1胜2负,2胜1负
46,102,2胜1负,1胜2负
46,130,33胜19负,23胜30负
46,137,34胜19负,34胜20负
46,158,39胜22负,19胜42负
47,28,3胜3负,2胜5负
47,103,3胜7负,5胜5负
47,159,20胜14负,14胜19负
47,166,3胜8负,3胜6负
48,1,29胜27负,43胜14负
48,15,3胜4负,2胜5负
48,188,6胜4负,3胜6负
49,2,14胜4负,10胜8负
49,56,26胜14负,17胜25负
49,56,2胜0负,1胜1负
49,112,31胜16负,18胜28负
50,36,35胜45负,44胜36负
50,57,13胜22负,12胜24负
50,120,20胜30负,40胜12负
50,162,30胜42负,43胜29负
50,197,20胜33负,23胜29负
50,204,9胜21负,25胜7负
51,32,3胜8负,5胜5负
51,37,2胜3负,2胜2负
51,93,10胜42负,16胜39负
52,5,28胜43负,36胜33负
52,12,2胜2负,3胜1负
52,101,1胜1负,2胜0负
52,101,28胜41负,33胜35负
52,136,10胜12负,9胜10负
52,157,27胜40负,14胜52负
52,171,10胜13负,8胜15负
53,200,16胜15负,13胜21负
54,82,1胜3负,3胜1负
54,89,17胜23负,26胜15负
54,96,3胜10负,4胜8负
54,110,25胜28负,13胜40负
54,131,34胜32负,34胜33负
54,166,35胜33负,16胜50负
55,1,0胜0负,0胜0负
55,22,25胜17负,24胜16负
55,41,2胜2负,2胜2负
55,48,24胜17负,18胜22负
55,83,29胜23负,37胜14负
55,132,1胜1负,0胜2负
55,160,0胜1负,0胜1负
56,105,26胜41负,47胜22负
56,126,14胜16负,14胜14负
56,196,1胜2负,2胜1负
57,24,6胜8负,11胜1负
57,43,14胜31负,15胜32负
57,85,18胜63负,54胜27负
58,11,10胜38负,29胜20负
58,11,18胜55负,47胜27负
58,25,0胜0负,0胜0负
58,32,12胜44负,31胜25负
58,37,2胜19负,8胜12负
58,86,3胜23负,13胜15负
58,107,17胜54负,27胜44负
58,184,0胜8负,7胜1负
59,73,1胜25负,14胜12负
59,87,8胜54负,36胜26负
59,143,9胜64负,65胜7负
59,150,3胜32负,21胜13负
60,20,18胜32负,23胜28负
60,34,12胜26负,20胜19负
60,74,15胜26负,25胜18负
60,74,1胜7负,6胜2负
60,186,1胜8负,5胜4负
61,14,18胜48负,23胜44负
61,40,12胜23负,27胜7负
61,54,21胜57负,40胜39负
61,89,1胜7负,5胜2负
61,96,13胜26负,10胜27负
61,110,13胜34负,10胜36负
61,173,10胜20负,24胜5负
62,1,16胜32负,39胜10负
62,1,4胜8负,11胜2负
62,97,8胜17负,4胜20负
62,118,20胜36负,40胜15负
63,9,23胜34负,19胜38负
63,189,3胜12负,10胜2负
64,17,46胜33负,29胜51负
64,36,1胜1负,1胜1负
64,36,22胜21负,20胜22负
64,36,3胜2负,2胜3负
64,43,19胜17负,13胜26负
64,43,39胜31负,23胜47负
64,50,48胜33负,36胜45负
64,71,1胜0负,0胜1负
64,134,25胜22负,16胜31负
64,176,9胜14负,15胜10负
64,183,3胜4负,4胜3负
65,32,26胜14负,21胜19负
65,72,12胜2负,7胜5负
65,100,0胜2负,2胜0负
65,128,24胜7负,25胜7负
65,198,37胜18负,28胜27负
66,33,44胜21负,29胜38负
66,45,1胜0负,1胜0负
66,87,2胜1负,1胜2负
67,13,0胜1负,1胜0负
68,0,1胜0负,0胜1负
68,0,37胜27负,45胜18负
68,7,41胜32负,14胜57负
68,61,10胜7负,6胜10负
68,173,30胜17负,30胜15负
69,1,19胜12负,25胜8负
69,22,7胜3负,6胜3负
69,55,31胜22负,28胜23负
69,104,24胜17负,23胜19负
70,2,21胜15负,20胜15负
70,23,39胜31负,43胜27负
70,49,25胜18负,26胜15负
70,175,27胜22负,22胜28负
70,196,19胜10负,7胜23负
71,36,18胜16负,12胜21负
71,92,17胜13负,9胜20负
71,162,26胜31负,34胜24负
72,11,17胜7负,14胜9负
72,32,43胜12负,31胜23负
72,37,3胜2负,2胜3负
72,100,3胜2负,2胜3负
72,149,25胜8负,23胜11负
72,163,50胜14负,34胜32负
72,184,18胜7负,19胜6负
73,26,27胜20负,23胜22负
73,45,2胜1负,1胜2负
73,87,27胜21负,26胜21负
73,143,33胜27负,53胜5负
74,34,11胜12负,11胜9负
74,116,15胜15负,9胜21负
74,200,19胜16负,14胜22负
82,40,0胜0负,0胜0负
82,61,40胜15负,15胜40负
82,68,56胜24负,44胜36负
82,96,51胜23负,18胜55负
83,22,22胜7负,17胜10负
83,29,16胜5负,9胜11负
83,29,21胜7负,12胜15负
83,97,19胜7负,5胜21负
84,9,52胜14负,22胜45负
84,23,23胜9负,20胜14负
84,154,25胜12负,17胜21负
84,161,7胜3负,4胜6负
84,175,16胜6负,12胜13负
84,203,1胜1负,1胜1负
85,31,49胜22负,14胜58负
85,36,27胜9负,14胜21负
85,43,46胜19负,22胜46负
85,64,12胜3负,6胜8负
85,141,36胜14负,31胜21负
85,176,37胜14负,32胜22负
86,18,21胜26负,18胜30负
86,51,22胜30负,10胜43负
86,198,25胜31负,30胜27负
86,205,21胜28负,31胜18负
87,45,32胜25负,34胜25负
87,45,48胜33负,47胜34负
87,66,3胜3负,3胜3负
88,13,29胜34负,42胜19负
88,20,35胜38负,34胜40负
88,116,21胜30负,19胜32负
89,14,14胜4负,6胜13负
89,40,26胜14负,30胜9负
89,68,16胜10负,17胜12负
89,68,1胜1负,1胜1负
89,96,31胜19负,13胜35负
89,110,25胜14负,10胜30负
89,124,15胜6负,10胜11负
89,138,41胜24负,28胜36负
89,152,42胜25负,47胜20负
89,180,28胜15负,20胜24负
90,22,1胜0负,0胜1负
90,41,36胜25负,36胜26负
90,48,32胜18负,25胜25负
90,104,36胜27负,35胜28负
90,202,28胜15负,27胜13负
91,56,15胜41负,22胜32负
91,98,13胜23负,6胜28负
91,161,7胜12负,7胜14负
91,182,19胜55负,40胜33负
92,85,4胜7负,9胜3负
92,148,10胜23负,23胜13负
92,155,19胜51负,22胜46负
93,65,10胜16负,18胜6负
93,177,21胜48负,43胜25负
94,33,20胜23负,19胜27负
94,73,20胜19负,24胜17负
94,87,29胜42负,41胜30负
94,185,1胜3负,1胜3负
94,192,20胜22负,25胜20负
95,13,27胜50负,49胜27负
95,27,15胜19负,16胜18负
95,130,16胜24负,18胜23负
95,158,16胜22负,14胜26负
95,207,6胜11负,14胜3负
96,7,14胜38负,9胜45负
96,21,8胜22负,13胜17负
96,124,17胜51负,40胜30负
96,173,13胜33负,31胜15负
97,8,18胜46负,21胜43负
97,55,1胜9负,7胜3负
97,69,0胜1负,1胜0负
97,146,7胜22负,17胜9负
97,160,7胜24负,13胜19负
97,181,3胜15负,10胜8负
98,9,0胜0负,0胜0负
98,168,7胜28负,14胜24负
98,182,3胜15负,9胜11负
98,203,11胜34负,37胜11负
99,10,3胜7负,4胜7负
99,17,0胜0负,0胜0负
99,43,11胜13负,12胜15负
99,92,33胜31负,19胜47负
